study_hours,attendance,previous_marks,assignments,sleep_hours,mental_stress,parent_involvement,result
5.4249606,1.0,78.35300199999999,104.82774,3.1231778,2.8682156,8.587495,1
2.3895793,0.7291149,66.69142639999998,51.119255,6.6845603,5.165138,4.233569,1
0.2957157,0.6346555,73.5047888,47.222202,5.418255,6.4264946,2.3013573,1
3.244214,0.8115082,83.803475,69.16063,6.3787026,5.7075653,4.8930902,1
0.4641617,0.7868564,70.21065680000001,44.26251,7.9296575,5.431078,5.7066436,1
3.359531,0.8360218,69.4862764,58.22253,7.4137344,5.403442,3.460518,1
3.1497526,0.7918486,80.86486839999999,59.636433,7.7521462,4.135546,5.896598,1
3.774291,0.78809124,74.91862940000001,72.561005,4.8718114,7.3909693,5.984927,1
2.4425924,0.5727259,71.7402066,28.932903,5.520274,2.4926133,4.045817,1
3.3688989,0.7725782,76.20740860000001,72.64172,5.6870227,3.2719653,3.8354216,1
1.6570712,0.60645175,65.718108,37.36125,5.632683,5.236734,6.2335835,1
0.06633223,0.59606975,63.6597224,67.11353,8.126244,4.672205,3.2068117,1
0.8997454,0.5840823,66.7733884,41.43422,5.8431487,5.0169463,6.6909723,1
5.1234226,0.8719083,50.820041999999994,81.18188,8.580051,6.1449094,5.0306106,0
1.4800646,0.74097985,49.659772,77.47446,8.715437,3.9987502,5.051056,0
2.5918024,0.7616903,64.3843792,68.78074,7.3391223,4.5778317,4.384497,0
1.6354477,0.69684905,58.75665419999999,58.287693,5.0512657,4.4898844,5.7599487,1
3.4446883,0.78467757,71.14107200000001,56.25006,7.15162,7.595807,3.551049,1
1.8746527,0.6386527,64.80881500000001,35.864185,3.431524,4.673756,5.468901,0
3.350455,0.7839908,50.0090246,66.41721,5.415686,8.617884,5.7699986,0
2.4670784,0.6923758,80.5491818,68.17035,6.387844,4.4539685,5.5282674,1
0.33938178,0.6715245,65.2055772,45.775414,5.640789,5.4744396,4.8046055,1
2.6488194,0.69074607,77.4373078,73.4108,6.0865602,4.328296,6.2832594,1
2.9105847,0.76114947,52.1145016,62.549034,4.365085,5.4095297,6.610815,0
0.08350869,0.57496506,61.76259520000001,30.88869,5.9075017,4.6165695,4.293693,0
1.4475701,0.61519605,74.109984,23.333725,7.6004744,5.174873,4.7795386,1
3.9248402,0.7275069,60.4012558,50.27498,6.2049847,4.0102367,6.2363105,1
2.3163211,0.74879485,70.43690860000001,60.222286,6.31035,5.79899,4.5062733,1
2.013434,0.5348364,63.5857252,56.88367,4.289427,5.5006566,4.453766,1
2.409561,0.80993426,62.608610399999996,48.212368,7.7305765,7.0331216,6.385207,1
3.7563245,0.83829945,60.3001792,72.09926,7.6752763,2.2817168,6.5402017,1
2.3622546,0.7310189,86.88218880000001,50.170597,8.1174,4.9893274,7.018141,1
3.4686456,0.7215291,68.15768,62.389458,5.008321,4.2924685,5.3144655,1
